aplaudirati,aplaudira,aplaudirao,aplaudirala,aplaudiralo,aplaudirace aplaudiracu aplaudiraces
igrati,igra,igrao,igrala,igralo,igrace igracu igraces
zaigrati,zaigra,zaigrao,zaigrala,zaigralo,zaigrace zaigracu zaigraces
odigrati,odigra,odigrao,odigrala,odigralo,odigrace odigracu odigraces
nadigrati,nadigra,nadigrao,nadigrala,nadigralo,nadigrace nadigracu nadigraces
pobediti,pobedi,pobedio,pobedila,pobedilo,pobedice pobedicu pobedices
pobedjivati,pobedjuje,pobedjivao,pobedjivala,pobedjivalo,pobedjivace pobedjivacu pobedjivaces
oprati,opere,oprao,oprala,opralo,oprace opracu opraces
umiti,umije,umio,umila,umilo,umice umicu umices
prati,pere,prao,prala,pralo,prace pracu praces
odupreti,odupire,odupirao,odupirala,odupiralo,odupirace odupiracu odupiraces
izneti,iznese,izneo,iznela,iznelo,iznece iznecu izneces
doneti,donese,doneo,donela,donelo,donece donecu doneces
preneti,prenese,preneo,prenela,prenelo,prenece prenecu preneces
prevesti,prevede,preveo,prevela,prevelo,prevesce prevescu prevesces
prevezati,preveze,prevezao,prevezala,prevezala,prevezace prevezacu prevezaces
popiti,popije,popio,popila,popilo,popice popicu popices
ispiti,ispije,ispio,ispila,ispilo,ispice ispicu ispices
izvuci,izvuce,izvukao,izvukla,izvuklo,izvucice izvucicu izvucices
izvaditi,izvadi,izvadio,izvadila,izvadilo,izvadice izvadicu izvadices
izvrsiti,izvrsi,izvrsila,izvrsilo,izvrsice izvrsicu izvrsices,izvrsice izvrsicu izvrsices
ispuniti,ispuni,ispunio,ispinila,ispunilo,ispunice ispunicu ispunices
iznenaditi,iznenadi,iznenadio,iznenadila,iznenadilo,iznenadice iznenadicu iznenadices
ispunjavati,ispunjava,ispunjavao,ispunjavala,ispunjavalo,ispunjavace ispunjavacu ispunanjavaces
pustati,pusti,pustio,pustila,pustilo,pustice pusticu pustices
prepustati,prepusti,prepustio,prepustila,prepustilo,prepustice prepusticu prepustices
izdavati,izdavaje,izdavao,izdavala,izdavalo,izdavace izdavacu izdavaces
pustiti,pusti,pustio,pustila,pustilo,pustice pusticu pustices
izdati,izdaje,izdao,izdala,izdalo,izdace izdacu izdaces
prepustiti,prepusti,prepustio,prepustila,prepustilo,prepustice prepusticu prepustices
izrazavati,izrazava,izrazavao,izrazavala,izrazavalo,izrazavace izrazavacu izrazavaces
izraziti,izrazi,izrazio,izrazila,izrazilo,izrazice izrazicu izrazices
negovati,neguje,negovao,negovala,negovalo,negovace negovacu negovaces
odgojiti,odgoji,odgojio,odgojila,odgojilo,odgojice odgojicu odgojices
odgajivati,odgaja,odgajio,odgajila,odgajilo,odgajice odgajicu odgajices
gajiti,gaji,gajio,gajila,gajilo,gajice gajicu gajices
iskociti,iskoci,iskocio,iskocila,iskocilo,iskocice iskocicu iskocices
kociti,koci,kocio,kocila,kocilo,kocice kocicu kocices
iskositi,iskosi,iskosio,iskosila,iskosilo,iskosice iskosicu iskosices
kositi,kosi,kosio,kosila,kosilo,kosice kosicu kosices
leteti,leti,leteo,letela,letelo,letece letecu leteces
sletati,slece,sletao,sletala,sletalo,sletace sletacu sletaces
sleteti,sleti,sleteo,sletesla,sleteslo,sletece sletecu sleteces
susiti,susi,susio,susila,susilo,susice susicu susices
osusiti,osusi,osusio,osusila,osusilo,osusice osusicu osusices
presusiti,presusi,presusio,presusila,presusilo,presusice presusicu presusices
opirati,opire,opirao,opirala,opiralo,opirace opiracu opiraces
upirati,upire,upirao,upirala,upiralo,upirace upiracu upiraces
podupirati,podupira,podupirao,podupirala,podupiralo,podupirace podupiracu podupiraces
odupirati,odupira,odupirao,odupirala,odupiralo,odupirace odupiracu odupiraces
pucati,puca,pucao,pucala,pucalo,pucace pucacu pucaces
nastupati,nastupa,nastupao,nastupala,nastupalo,nastupace nastupacu nastupaces
nastupiti,nastupi,nastupio,nastupila,nastupilo,nastupice nastupicu nastupices
brisati,brise,brisao,brisala,brisalo,brisace brisacu brisaces
izbrisati,izbrise,izbrisao,izbrisala,izbrisalo,izbrisace izbrisacu izbrisaces
prebrisati,prebrise,prebrisao,prebrisala,prebrisalo,prebrisace prebrisacu prebrisaces
nauciti,nauci,naucio,naucila,naucilo,naucice naucicu naucices
uciti,uci,ucio,ucila,ucilo,ucice ucicu ucices
douciti,douci,doucio,doucila,doucilo,doucice doucicu doucices
izlaziti,izlazi,izlazio,izlazila,izlazilo,izlazice izlazicu izlazices
vezivati,vezuje,vezivao,vezivala,vezivalo,vezivace vezivacu vezivaces
prevezivati,prevezuje,prevezivao,prevezivala,prevezivalo,prevezivace prevezivacu prevezivaces
javiti,javi,javio,javila,javilo,javice javicu javices
javljati,javlja,javljao,javljala,javljalo,javljace javljacu javljaces
dojaviti,dojavi,dojavio,dojavila,dojavilo,dojavice dojavicu dojavices
najaviti,najavi,najavio,najavila,najavilo,najavice najavicu najavices
najavljivati,najavljuje,najavljivao,najavljivala,javljavalo,javljivace javljivacu javljivaces
dolaziti,dolazi,dolazio,dolazila,dolazilo,dolazice dolazicu dolazices
nadolaziti,nadolazi,nadolazio,nadolazila,nadolazilo,nadolazice nadolazicu nadolazices
polaziti,polazi,polazio,polazila,polazilo,polazice polazicu polazices
prelaziti,prelazi,prelazio,prelazila,prelazilo,prelazice prelazicu prelazices
koracati,koraca,koracao,koracala,koracalo,koracace koracacu koracaces
setati,seta,setao,setala,setalo,setace setacu setaces
dosetati,doseta,dosetao,dosetala,dosetalo,dosetace dosetacu dosetaces
saputati,sapuce,saputao,saputala,saputalo,saputace saputacu saputaces
saptati,sapce,saptao,saptala,saptalo,saptace saptacu saptaces
siti,sije,sio,sila,silo,sice sicu sices
krpiti,krpi,krpio,krpila,krpilo,krpice krpicu krpices
trpiti,trpi,trpio,trpila,trpilo,trpice trpicu trpices
trpeti,trpi,trpeo,trpela,trpelo,trpece trpecu trpeces
sumiti,sumi,sumio,sumila,sumilo,sumice sumicu sumices
galamiti,galami,galamio,galamila,galamilo,galamice galamicu galamices
vikati,vice,vikao,vikala,vikalo,vikace vikacu vikaces
dovikivati,dovikuje,dovikivao,dovikivala,dovikivalo,dovikivace dovikivacu dovikivaces
saliti,sali,salio,salila,salilo,salice salicu salices
crtati,crta,crtao,crtala,crtalo,crtace crtacu crtaces
nacrtati,nacrta,nacrtao,nacrtala,nacrtalo,nacrtace nacrtacu nacrtaces
docrtati,docrta,docrtao,docrtala,docrtalo,docrtace docrtacu docrtaces
iscrtati,iscrta,iscrtao,iscrtala,iscrtalo,iscrtace iscrtacu iscrtaces
ciniti,cini,cinio,cinila,cinilo,cinice cinicu cinices
uciniti,ucini,ucinio,ucinila,ucinilo,ucinice ucinicu ucinices
pociniti,pocini,pocinio,pocinila,pocinilo,pocinice pocinicu pocinices
popraviti,popravi,popravio,popravila,popravilo,popravice popravicu popravices
popravljati,popravlja,popravljao,popravljala,popravljalo,popravljace popravljacu popravljaces
ostriti,ostri,ostrio,ostrila,ostrilo,ostrice ostricu ostrices
poostriti,poostri,poostrio,poostrila,poostrilo,poostrice poostricu poostrices
naostriti,naostri,naostrio,naostrila,naostrilo,naostrice naostricu naostrices
cistiti,cisti,cistio,cistila,cistilo,cistice cisticu cistices
pocistiti,pocisti,pocistio,pocistila,pocistilo,pocistice pocisticu pocistices
kijati,kija,kijao,kijala,kijalo,kijace kijacu kijaces
citati,cita,citao,citala,citalo,citace citacu citaces
nacitati,nacita,nacitao,nacitala,nacitalo,nacitace nacitacu nacitaces
predavati,predaje,predavao,predavala,predavalo,predavace predavacu predavaces
recitovati,recituje,recitovao,recitavala,recitavalo,recitovace recitovacu recitovaces
osecati,oseca,osecao,osecala,osecalo,osecace osecacu osecaces
predosecati,predoseca,predosecao,predosecala,predosecalo,predosecace predosecacu predosecaces
cvetati,cveta,cvetao,cvetala,cvetalo,cvetace cvetacu cvetaces
precvetati,precveta,precvetao,precvetala,precvetalo,precvetace precvetacu precvetaces
procvetati,procveta,procvetao,procvetala,procvetalo,procvetace procvetacu procvetaces
ljubiti,ljubi,ljubio,ljubila,ljubilo,ljubice ljubicu ljubices
zaljubiti,zaljubi,zaljubio,zaljubila,zaljubilo,zaljubice zaljubicu zaljubices
poljubiti,poljubi,poljubio,poljubila,poljubilo,poljubice poljubicu poljubices
grejati,greje,grejao,grejala,grejalo,grejace grejacu grajces
zagrejati,zagreje,zagrejao,zagrejala,zagrejalo,zagrejace zagrejacu zagrajces
hvaliti,hvali,hvalio,hvalila,hvalilo,hvalice hvalicu hvalices
hvalisati,hvalise,hvalisao,hvalisala,hvalisalo,hvalisace hvalisacu hvalisaces
hvatati,hvata,hvatao,hvatala,hvatalo,hvatace hvatacu hvataces
grabiti,grabi,grabio,grabila,grabilo,grabice grabicu grabices
stizati,stize,stizao,stizala,stizalo,stizace stizacu stizaces
postizati,postize,postizao,postizala,postizalo,postizace postizacu postizaces
dostizati,dostize,dostizao,dostizala,dostizalo,dostizace dostizacu dostizaces
hodati,hoda,hodao,hodala,hodalo,hodace hodacu hodaces
prohodati,prohoda,prohodao,prohodala,prohodalo,prohodace prohodacu prohodaces
nahodati,nahoda,nahodao,nahodala,nahodalo,nahodace nahodacu nahodaces
hteti,hocu,hoces,hoce,hteo,htela,htelo,hoce hocu hoces
umeti,ume,umeo,umela,umelo,umece umecu umeces
razumeti,razume,razumeo,razumela,razumelo,razumece razumecu razumeces
sporazumeti,sporazume,sporazumeo,sporazumela,sporazumelo,sporazumece sporazumecu sporazumeces
zeleti,zeli,zeleo,zelela,zelelo,zelece zelecu zeleces
pozeleti,pozeli,pozeleo,pozelela,pozelelo,pozelece pozelecu pozeleces
zazeleti,zazeli,zazeleo,zazelela,zazelelo,zazelece zazelecu zazeleces
spavati,spava,spavao,spavala,spavalo,spavace spavacu spavaces
naspavati,naspava,naspavao,naspavala,naspavalo,naspavace naspavacu naspavaces
prespavati,prespava,prespavao,prespavala,prespavalo,prespavace prespavacu prespavaces
hraniti,hrani,hranio,hranila,hranilo,hranice hranicu hranices
sacuvati,sacuva,sacuvao,sacuvala,sacuvalo,sacuvace sacuvacu sacuvaces
slikati,slika,slikao,slikala,slikalo,slikace slikacu slikaces
naslikati,naslika,naslikao,naslikala,naslikalo,naslikace naslikacu naslikaces
gutati,guta,gutao,gutala,gutalo,gutace gutacu gutaces
progurati,proguta,progutao,progutala,progutalo,progutace progutacu progutaces
glasati,glasa,glasao,glasala,glasalo,glasace glasacu glasaces
ocajavati,ocajava,ocajavao,ocajavala,ocajavalo,ocajavace ocajavacu ocajavaces
ojacati,ojaca,ojacao,ojacala,ojacalo,ojacace ojacacu ojacaces
jacati,jaca,jacao,jacala,jacalo,jacace jacacu jacaces
pojacati,pojaca,pojacao,pojacala,pojacalo,pojacace pojacacu pojacaces
nadjacati,nadjaca,nadjacao,nadjacala,nadjacalo,nadjacace nadjacacu nadjacaces
spremiti,spremi,spremio,spremili,spremilo,spremice spremicu spremices
spremati,sprema,spremao,spremala,spremalo,spremace spremacu spremaces
gostovati,gostuje,gostovao,gostovala,gostovalo,gostovace gostovacu gostovaces
jesti,jede,jeo,jela,jelo,jesce jescu jesces
pojesti,pojede,pojeo,pojela,pojelo,pojesce pojescu pojesces
prejesti,prejede,prejeo,prejela,prejelo,prejesce prejescu prejesces
duvati,duva,duvao,duvala,duvalo,duvace duvacu duvaces
naduvati,naduva,naduvao,naduvala,naduvalo,naduvace naduvacu naduvaces
druziti,druzi,druzio,druzila,druzilo,druzice druzicu druzices
zdruziti,zdruzi,zdruzio,zdruzila,zdruzilo,zdruzice zdruzicu zdruzices
pridruziti,pridruzi,pridruzio,pridruzila,pridruzilo,pridruzice pridruzicu pridruzices
dostaviti,dostavlja,dostavljao,dostavljala,dostavljalo,dostavljace dostavljacu dostavljaces
isporuciti,isporuci,isporucio,isporucila,isporucilo,isporucice isporucicu isporucices
izazvati,izaziva,izazivao,izazivala,izazivalo,izazivace izazivacu izazivaces
priciniti,pricini,pricinio,pricinila,pricinilo,pricinice pricinicu pricinices
nabavljati,nabavlja,nabavljao,nabavljala,nabavljalo,nabavljace nabavljacu nabavljaces
dopustati,dopusta,dopustao,dopustala,dopustalo,dopustace dopustacu dopustaces
graditi,gradi,gradio,gradila,gradilo,gradice gradicu gradices
nagraditi,nagradi,nagradio,nagradila,nagradilo,nagradice nagradicu nagradices
dograditi,dogradi,dogradio,dogradila,dogradilo,dogradice dogradicu dogradices
traziti,trazi,trazio,trazila,trazilo,trazice trazicu trazices
zatraziti,zatrazi,zatrazio,zatrazila,zatrazilo,zatrazice zatrazicu zatrazices
potraziti,potrazi,potrazio,potrazila,potrazilo,potrazice potrazicu potrazices
setiti,seti,setio,setila,setilo,setice seticu setices
dosetiti,doseti,dosetio,dosetila,dosetilo,dosetice doseticu dosetices
prisetiti,priseti,prisetio,prisetila,prisetilo,prisetice priseticu prisetices
dokazati,dokaze,dokazao,dokazala,dokazalo,dokazace dokazacu dokazaces
potvrditi,potvrdi,potvrdio,potvrdila,potvrdilo,potvrdice potvrdicu potvrdices
diktirati,diktira,diktirao,diktirala,diktiralo,diktirace diktiracu diktiraces
doktorirati,doktorira,doktorirao,doktorirala,doktoriralo,doktorirace doktoriracu doktoriraces
drzati,drzi,drzao,drzala,drzalo,drzace drzacu drzaces
